id,number,street,city,state,postalCode,price
169,26781,Heffernan,Daytona Beach,Florida,32128,$416877.17
170,8,Carberry,Hialeah,Florida,33013,$407547.14
171,787,Mandrake,Washington,District of Columbia,20299,$188593.92
172,9,Washington,Cincinnati,Ohio,45218,$359472.62
173,79,Eastlawn,Dallas,Texas,75277,$227604.87
174,99,Oak,Saint Louis,Missouri,63143,$469723.70
175,73045,Coolidge,Boca Raton,Florida,33432,$270183.29
176,217,Arrowood,Long Beach,California,90840,$308825.34
177,970,Everett,Flushing,New York,11388,$94891.06
178,1060,Clarendon,Canton,Ohio,44760,$313779.79
179,88951,Michigan,Washington,District of Columbia,20062,$378493.52
180,039,Amoth,Austin,Texas,78769,$330743.48
181,20,Acker,Dallas,Texas,75379,$349452.19
182,505,Blackbird,Atlanta,Georgia,30323,$50838.01
183,943,Anniversary,Springfield,Illinois,62718,$410920.74
184,825,Morning,Seattle,Washington,98175,$356059.46
185,8,Village Green,Atlanta,Georgia,30306,$153197.01
186,0,Rutledge,Houston,Texas,77234,$56287.78
187,39,Debra,Portland,Maine,04109,$326572.76
188,804,Scofield,Milwaukee,Wisconsin,53285,$317310.83
189,5,Mayer,Knoxville,Tennessee,37939,$90085.41
190,0193,Dixon,Hot Springs National Park,Arkansas,71914,$396641.62
191,5,Little Fleur,Beaumont,Texas,77713,$436818.94
192,6364,Pierstorff,Santa Fe,New Mexico,87505,$410322.78
193,79431,Mallory,Lincoln,Nebraska,68505,$165770.94
194,59,Mandrake,Pasadena,California,91117,$85135.43
195,10006,Vernon,Washington,District of Columbia,20057,$405897.83
196,57588,Calypso,Spring Hill,Florida,34611,$177805.16
197,84,Sunnyside,Colorado Springs,Colorado,80915,$450394.47
198,2,Homewood,Phoenix,Arizona,85030,$138496.64
199,4844,Crownhardt,Arlington,Virginia,22205,$227104.96
200,149,Helena,Fairfax,Virginia,22036,$179503.75
201,47953,Logan,New Orleans,Louisiana,70154,$218772.86
202,4,Waxwing,Aiken,South Carolina,29805,$382816.45
203,7,Waywood,Houston,Texas,77293,$433459.95
204,93270,Butternut,Milwaukee,Wisconsin,53210,$331706.13
205,179,Pepper Wood,Augusta,Georgia,30905,$366913.40
206,2,Bluejay,Fort Wayne,Indiana,46857,$185866.23
207,32,Blue Bill Park,Asheville,North Carolina,28805,$407125.15
208,21,Sutteridge,San Antonio,Texas,78245,$300291.35
209,7426,Lerdahl,Metairie,Louisiana,70005,$148696.43
210,6,Monica,Baton Rouge,Louisiana,70836,$407619.29
211,0,Toban,Fresno,California,93794,$409511.76
212,30132,Jay,Kingsport,Tennessee,37665,$490922.30
213,48,Di Loreto,Washington,District of Columbia,20535,$458446.47
214,6266,Mifflin,Philadelphia,Pennsylvania,19131,$298112.02
215,1765,Clyde Gallagher,Salinas,California,93907,$350076.08
216,6787,Laurel,Salt Lake City,Utah,84199,$161055.98
217,13,Mallory,Springfield,Missouri,65898,$418005.86
218,9260,Kim,Charleston,South Carolina,29416,$446574.25
219,5,Hooker,Corpus Christi,Texas,78426,$334824.17
220,78003,Goodland,Richmond,Virginia,23220,$220753.10
221,84643,Tennyson,Charlotte,North Carolina,28256,$455579.01
222,410,Tennyson,Richmond,Virginia,23277,$272749.58
223,083,Texas,Washington,District of Columbia,20268,$465774.89
224,07,Bashford,Dallas,Texas,75392,$185762.94
225,561,Morrow,Phoenix,Arizona,85067,$241967.24
226,89,Eastlawn,Omaha,Nebraska,68124,$371309.40
227,597,Veith,Tulsa,Oklahoma,74184,$105797.53
228,92,Claremont,Juneau,Alaska,99812,$139890.95
229,6,Lien,Santa Barbara,California,93106,$127238.76
230,71766,Marcy,Oklahoma City,Oklahoma,73147,$370503.69
231,20047,Novick,Charlotte,North Carolina,28242,$322360.62
232,068,Larry,Sacramento,California,95852,$342551.96
233,1660,Kenwood,Miami,Florida,33180,$411189.30
234,02719,Fair Oaks,El Paso,Texas,88563,$146458.43
235,88203,Carioca,El Paso,Texas,88589,$287769.20
236,35047,Helena,Greensboro,North Carolina,27415,$407607.68
237,1,Continental,Amarillo,Texas,79105,$161859.16
238,402,Nova,Tucson,Arizona,85705,$279287.61
239,27,Petterle,Hartford,Connecticut,06140,$50260.64
240,1770,Namekagon,Albany,New York,12227,$429441.65
241,35750,Stoughton,Dallas,Texas,75372,$267053.10
242,5305,Dawn,Houston,Texas,77218,$199666.79
243,5,Bunting,Memphis,Tennessee,38150,$401627.11
244,96,Crowley,Simi Valley,California,93094,$109031.43
245,65,Washington,Denver,Colorado,80223,$407927.90
246,9,Lillian,Corpus Christi,Texas,78410,$112393.67
247,707,Scoville,Dallas,Texas,75323,$94936.54
248,10127,Calypso,New York City,New York,10292,$497330.45
249,85105,Nevada,Pittsburgh,Pennsylvania,15210,$425855.93
250,31936,Brickson Park,Corona,California,92878,$419234.39
251,0526,Carpenter,Jersey City,New Jersey,07310,$452958.55
252,1420,Merry,Raleigh,North Carolina,27605,$494834.75
253,28855,Sugar,New York City,New York,10131,$411985.27
254,10,Maple Wood,North Las Vegas,Nevada,89087,$198568.82
255,28490,5th,Colorado Springs,Colorado,80925,$222098.37
256,70,Stephen,San Diego,California,92137,$325880.76
257,623,Melvin,Bethesda,Maryland,20892,$52222.62
258,446,Lien,San Antonio,Texas,78225,$457769.43
259,155,Chinook,Charlotte,North Carolina,28284,$414275.58
260,5910,Caliangt,Dallas,Texas,75387,$190205.14
261,21,Cardinal,Las Vegas,Nevada,89115,$309826.49
262,8858,Gina,Atlanta,Georgia,31106,$85687.76
263,86,Hazelcrest,Dallas,Texas,75379,$439718.32
264,62432,Veith,Spartanburg,South Carolina,29319,$389351.00
265,8829,Hallows,Stamford,Connecticut,06922,$490439.26
266,6,Farwell,Indianapolis,Indiana,46239,$336295.52
267,2648,Marquette,Las Vegas,Nevada,89193,$330331.30
268,92110,Straubel,Hartford,Connecticut,06183,$421750.82
269,678,Bonner,Trenton,New Jersey,08650,$186208.96
270,75622,Thierer,Naperville,Illinois,60567,$76088.84
271,6,Waywood,Dallas,Texas,75397,$276914.32
272,4,Westridge,Oklahoma City,Oklahoma,73114,$117617.46
273,4,Bowman,Glendale,California,91210,$275612.07
274,96,Trailsway,Tyler,Texas,75799,$138345.43
275,7744,Leroy,Tampa,Florida,33610,$360928.98
276,84357,Prairie Rose,Pasadena,California,91103,$483411.34
277,533,Annamark,Providence,Rhode Island,02905,$336119.64
278,4,Mayer,Schaumburg,Illinois,60193,$486526.39
279,7957,Rowland,Dallas,Texas,75246,$164264.15
280,18725,Erie,New York City,New York,10099,$410174.54
281,8,Dunning,Oxnard,California,93034,$394354.56
282,5,Maple,Lakeland,Florida,33811,$342058.34
283,2,1st,Newark,New Jersey,07188,$93163.18
284,842,Pond,Corpus Christi,Texas,78475,$263911.07
285,541,Johnson,Columbus,Ohio,43226,$473049.70
286,0,Sachs,El Paso,Texas,88569,$413859.59
287,5620,Riverside,Kansas City,Missouri,64193,$202474.09
288,761,Huxley,Houston,Texas,77080,$472251.02
289,7904,Village,Duluth,Minnesota,55805,$51325.31
290,00941,Melody,San Diego,California,92186,$446851.51
291,8792,Erie,Salt Lake City,Utah,84199,$390980.60
292,72,Lake View,Roanoke,Virginia,24004,$415865.79
293,03,Carey,Memphis,Tennessee,38131,$255586.08
294,9,Blaine,New Hyde Park,New York,11044,$95785.88
295,0,Macpherson,Stockton,California,95205,$150256.44
296,358,East,Aurora,Illinois,60505,$83047.29
297,0890,Dawn,North Little Rock,Arkansas,72199,$214051.32
298,1777,Sage,Tulsa,Oklahoma,74149,$182514.58
299,85711,Grasskamp,Springfield,Missouri,65898,$149777.18
300,31,Eastwood,Decatur,Illinois,62525,$133350.64
301,1739,Lindbergh,San Jose,California,95123,$450301.99
302,69,Tony,Tulsa,Oklahoma,74103,$155361.84
303,848,Grover,Roanoke,Virginia,24024,$211270.66
304,1908,Roth,Harrisburg,Pennsylvania,17110,$168934.82
305,720,Vermont,Los Angeles,California,90081,$432609.00
306,30266,Buell,Boston,Massachusetts,02163,$90015.61
307,4692,Elka,Lima,Ohio,45807,$100337.48
308,2,Reindahl,El Paso,Texas,79984,$395787.86
309,850,Sage,Madison,Wisconsin,53710,$371290.31
310,49,West,Columbia,Missouri,65211,$59800.90
311,8154,Onsgard,Burbank,California,91505,$388019.88
312,989,Sullivan,Columbia,South Carolina,29225,$497403.37
313,8,Talmadge,Alpharetta,Georgia,30022,$340742.16
314,25916,Colorado,Hollywood,Florida,33028,$333317.52
315,9787,Pine View,Brooklyn,New York,11247,$251527.83
316,74209,Granby,Santa Fe,New Mexico,87592,$499379.60
317,7222,Sunbrook,Fort Worth,Texas,76198,$353655.26
318,22111,Haas,Milwaukee,Wisconsin,53285,$429224.80
319,24,Clyde Gallagher,Richmond,Virginia,23260,$135057.73
320,0,Novick,Huntington,West Virginia,25775,$242316.29
321,2,Badeau,Dearborn,Michigan,48126,$81395.22
322,9,Crowley,Seattle,Washington,98104,$133811.32
323,52,Carpenter,Las Vegas,Nevada,89155,$484434.24
324,1,Killdeer,New Orleans,Louisiana,70124,$172699.53
325,78,Spenser,Lafayette,Louisiana,70505,$402710.37
326,70,Graedel,Olympia,Washington,98506,$56607.06
327,61043,Sherman,Topeka,Kansas,66617,$450585.61
328,3,Hollow Ridge,Lincoln,Nebraska,68517,$64014.49
329,3158,Weeping Birch,Bloomington,Illinois,61709,$97341.06
330,120,Glacier Hill,New York City,New York,10131,$406837.13
331,833,Thierer,Peoria,Illinois,61640,$185602.20
332,5,Hansons,Columbus,Ohio,43215,$380887.74
333,2158,Hermina,London,Kentucky,40745,$298295.19
334,842,Roxbury,Columbia,South Carolina,29240,$460493.63
335,358,Carpenter,Richmond,California,94807,$134834.81
336,8823,Mayfield,Murfreesboro,Tennessee,37131,$200883.72
337,785,Summer Ridge,Des Moines,Iowa,50981,$458996.04
338,7,Brickson Park,Bakersfield,California,93399,$247427.59
339,7898,Stone Corner,Hartford,Connecticut,06160,$55705.89
340,816,Northwestern,Amarillo,Texas,79105,$376880.15
341,5,Reindahl,Daytona Beach,Florida,32118,$428819.53
342,826,6th,Washington,District of Columbia,20397,$181947.17
343,624,Fallview,Washington,District of Columbia,20005,$177899.11
344,13706,Steensland,East Saint Louis,Illinois,62205,$371143.71
345,5100,Cherokee,Richmond,Virginia,23285,$340608.98
346,734,Rutledge,Shawnee Mission,Kansas,66225,$193287.39
347,81,Marcy,Memphis,Tennessee,38136,$295341.95
348,4,Petterle,Youngstown,Ohio,44505,$490630.91
349,36414,Stang,York,Pennsylvania,17405,$139840.52
350,3,Red Cloud,Lexington,Kentucky,40505,$121267.38
351,21131,Thierer,Houston,Texas,77271,$424537.16
352,3516,Sunnyside,Tampa,Florida,33661,$493999.26
353,039,Nevada,Las Vegas,Nevada,89145,$163263.45
354,8718,Bartelt,Fort Wayne,Indiana,46867,$279358.80
355,56232,Homewood,Charleston,West Virginia,25336,$482562.28
356,85,Moland,Jackson,Tennessee,38308,$222268.40
357,89130,Annamark,Birmingham,Alabama,35290,$114434.65
358,490,Dottie,Jacksonville,Florida,32230,$202852.79
359,8532,6th,Fort Smith,Arkansas,72905,$346615.81
360,53345,Dayton,Richmond,Virginia,23220,$462611.21
361,01,Eagle Crest,Bronx,New York,10454,$326893.63
362,00535,Wayridge,Colorado Springs,Colorado,80951,$285977.27
363,4813,Express,Kansas City,Missouri,64153,$298529.98
364,6,Ridgeview,Charleston,South Carolina,29411,$167664.51
365,770,Cherokee,Sioux Falls,South Dakota,57105,$298304.33
366,298,Montana,Dayton,Ohio,45426,$50747.93
367,2,Knutson,Raleigh,North Carolina,27626,$160472.51
368,97363,Fair Oaks,Melbourne,Florida,32941,$350428.05
369,10025,Leroy,Fort Worth,Texas,76110,$79185.09
370,5,Arkansas,Dayton,Ohio,45454,$192192.87
371,753,Oxford,Vancouver,Washington,98682,$396282.53
372,52,Mendota,Albuquerque,New Mexico,87140,$318686.58
373,413,Arkansas,Migrate,Kentucky,41905,$115908.85
374,351,Leroy,Houston,Texas,77255,$255087.66
375,985,Merrick,Sioux Falls,South Dakota,57105,$247866.28
376,8686,Forest Dale,Saint Paul,Minnesota,55172,$465838.21
377,2092,6th,Jacksonville,Florida,32204,$198098.35
378,6007,Katie,Tyler,Texas,75799,$489012.49
379,9,Fordem,Washington,District of Columbia,20319,$151600.82
380,238,South,Lexington,Kentucky,40581,$77870.54
381,83,Northport,Houston,Texas,77212,$373989.78
382,7,Lotheville,Denton,Texas,76205,$67619.26
383,0,Northridge,Huntington,West Virginia,25711,$455644.93
384,74538,Westridge,Vero Beach,Florida,32964,$358478.48
385,51763,Lakeland,San Francisco,California,94126,$438936.39
386,3391,8th,Baton Rouge,Louisiana,70810,$221152.85
387,2,Jackson,Dayton,Ohio,45490,$262934.60
388,832,Esch,San Diego,California,92145,$436429.54
389,33161,Gale,Houston,Texas,77090,$54975.06
390,218,Rigney,Ocala,Florida,34479,$218858.43
391,173,Main,Washington,District of Columbia,20260,$60887.21
392,5,Debra,Orlando,Florida,32854,$159977.20
393,4,Petterle,Rochester,New York,14624,$217505.59
394,50744,Meadow Ridge,Washington,District of Columbia,20215,$217142.87
395,2,Jana,Brockton,Massachusetts,02405,$443687.02
396,385,Thompson,Reston,Virginia,22096,$466281.05
397,52494,Bluestem,Annapolis,Maryland,21405,$260794.99
398,16957,Shopko,Elizabeth,New Jersey,07208,$296463.21
399,30,Bonner,El Paso,Texas,79977,$97172.84
400,85134,David,Fort Myers,Florida,33913,$408984.81
401,15,Moose,Colorado Springs,Colorado,80935,$383714.53
402,8505,Dorton,San Diego,California,92160,$190587.14
403,0,Chive,Littleton,Colorado,80127,$236736.46
404,2,Scoville,Las Vegas,Nevada,89145,$169984.08
405,958,Melody,Washington,District of Columbia,20319,$491146.45
406,7,Springs,Pensacola,Florida,32575,$270182.53
407,79913,Fordem,Portland,Oregon,97271,$443312.05
408,51,Nova,Tulsa,Oklahoma,74126,$180752.73
409,63867,Golden Leaf,Fairfax,Virginia,22036,$314167.55
410,27,Fulton,Wilmington,Delaware,19886,$57095.88
411,522,Hanson,Birmingham,Alabama,35290,$292358.42
412,6108,Charing Cross,Tacoma,Washington,98464,$492355.85
413,63,Debra,Waltham,Massachusetts,02453,$77682.44
414,7724,Huxley,Kansas City,Missouri,64179,$64966.10
415,73,Clarendon,Fullerton,California,92835,$497591.21
416,67354,Warbler,Oklahoma City,Oklahoma,73119,$178512.66
417,469,Melby,Hartford,Connecticut,06140,$64520.90
418,39432,Magdeline,Oklahoma City,Oklahoma,73124,$490045.98
419,5513,Manley,Knoxville,Tennessee,37931,$429279.02
420,719,Stephen,White Plains,New York,10633,$188242.81
421,3,Hanover,Baton Rouge,Louisiana,70810,$212662.36
422,90,Homewood,San Antonio,Texas,78245,$56705.41
423,893,Summer Ridge,Hampton,Virginia,23663,$334111.56
424,4,Fair Oaks,Sacramento,California,94286,$143942.09
425,89,Springs,Huntington,West Virginia,25709,$303481.96
426,18577,Algoma,Washington,District of Columbia,20530,$362008.97
427,940,Stuart,Salt Lake City,Utah,84152,$495242.99
428,652,Hermina,Wilmington,Delaware,19886,$282932.65
429,540,Northport,Irvine,California,92619,$179818.98
430,2859,Portage,Kansas City,Missouri,64109,$175546.10
431,169,Warbler,Peoria,Illinois,61640,$361353.08
432,54,Basil,Saint Paul,Minnesota,55115,$196319.48
433,2975,Northwestern,Denver,Colorado,80235,$316377.44
434,212,Bellgrove,Abilene,Texas,79699,$462656.03
435,486,Hallows,Davenport,Iowa,52809,$314636.34
436,12037,Carioca,Saint Petersburg,Florida,33737,$103614.45
437,2,Burrows,Arlington,Texas,76016,$190500.54
438,99,Cordelia,Pueblo,Colorado,81010,$169685.51
439,14388,Jay,Los Angeles,California,90015,$97172.41
440,465,Coolidge,Lansing,Michigan,48919,$430481.51
441,4716,Oriole,Oklahoma City,Oklahoma,73167,$93246.47
442,9291,Butternut,Miami,Florida,33283,$284049.59
443,491,Scott,Denver,Colorado,80249,$110732.17
444,03,Arkansas,Seattle,Washington,98127,$417916.72
445,18791,Division,Paterson,New Jersey,07544,$490094.40
446,4633,Mitchell,Detroit,Michigan,48295,$295204.09
447,9,Iowa,Charleston,West Virginia,25362,$89146.84
448,74675,Memorial,Houston,Texas,77266,$189497.39
449,40,Mayer,Houston,Texas,77015,$303033.34
450,758,Goodland,Seattle,Washington,98140,$371842.69
451,3896,4th,Lansing,Michigan,48930,$345295.64
452,4,Annamark,Fort Worth,Texas,76162,$115847.18
453,871,Merrick,Sacramento,California,95838,$88322.79
454,99637,Carberry,Woburn,Massachusetts,01813,$345601.24
455,890,Dahle,Memphis,Tennessee,38114,$454424.72
456,84,Michigan,Gulfport,Mississippi,39505,$157010.28
457,8,Erie,Akron,Ohio,44315,$135814.35
458,7,Jenna,Peoria,Illinois,61614,$255315.34
459,3195,Golden Leaf,Newton,Massachusetts,02458,$243553.23
460,8997,Cherokee,Topeka,Kansas,66629,$242797.24
461,078,Monica,Arlington,Virginia,22212,$198973.70
462,0691,Crest Line,Corpus Christi,Texas,78470,$154083.08
463,9439,Valley Edge,Vero Beach,Florida,32969,$492960.51
464,25,Dakota,Denton,Texas,76210,$293738.09
465,64645,Rowland,Memphis,Tennessee,38109,$209323.33
466,5105,Johnson,Des Moines,Iowa,50936,$239910.10
467,90,Randy,Fresno,California,93794,$218614.86
468,6626,Mandrake,Orlando,Florida,32830,$406428.72
469,25,Glendale,Pomona,California,91797,$477480.37
470,808,Northland,Hartford,Connecticut,06120,$315048.11
471,35,Mockingbird,Cheyenne,Wyoming,82007,$186116.49
472,0894,Comanche,Moreno Valley,California,92555,$301303.11
473,49,Karstens,Phoenix,Arizona,85040,$125810.58
474,8232,Stuart,Fresno,California,93750,$468495.98
475,9,Vahlen,Boston,Massachusetts,02208,$489882.64
476,09348,Warner,Washington,District of Columbia,20099,$337651.82
477,0,Hoard,Chicago,Illinois,60686,$181745.81
478,7262,Maywood,Sacramento,California,94273,$378160.19
